0 1 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
0 3 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
1 3 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
1 6 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
1 7 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
2 3 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
2 9 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
2 11 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
4 5 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
4 6 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
5 17 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
6 7 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
7 8 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
7 9 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
8 9 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
8 13 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
8 17 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
10 11 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
10 12 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
11 12 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
12 13 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
12 14 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
14 15 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
15 16 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
15 17 {'LinkType': 'DS-3', 'LinkLabel': '45 Mbps DS-3', 'LinkNote': '45 Mbps '}
