ID,Technology,Max Output [MW], Marginal Cost [ua/MW],Inertia [MWs^2],Primary Control [MWs]
9,NU,1980,16,0.7563,0.14355
10,RR,106,10,0.03,0.01
12,NU,730,16,0.27884,0.052925
17,NU,1020,16,0.38961,0.07395
20,PS,980,100,0.18717,0.07105
22,PS,992,100,0.18946,0.07192
24,HY,120,60,0.03,0.01
26,HY,90,60,0.03,0.01
29,HY,274,60,0.05233,0.019865
59,DA,176,80,0.044818,0.01276
69,DA,240,80,0.061115,0.0174
80,RR,151,10,0.03,0.010948
82,NU,1840,16,0.70283,0.1334
86,NU,2384,16,0.91062,0.17284
88,CG,1827,110,0.69786,0.13246
90,RR,141,10,0.03,0.010223
101,DA,147,80,0.037433,0.010658
103,HY,295,60,0.056341,0.021388
110,DA,270,80,0.068755,0.019575
112,DA,1644,80,0.41864,0.11919
113,NU,373,16,0.14248,0.027043
114,HY,1115,60,0.21295,0.080838
132,RR,156,10,0.03,0.01131
142,HC,870,35,0.33232,0.063075
147,PS,175,100,0.033423,0.012688
153,FO,251,100,0.095875,0.018198
154,DA,74,80,0.03,0.01
162,DA,247,80,0.062898,0.017908
164,DA,127,80,0.03234,0.01
166,DA,331,80,0.084288,0.023998
169,DA,388,80,0.098803,0.02813
170,DA,2069,80,0.52687,0.15
173,HY,311,60,0.059397,0.022548
178,NU,3724,16,1.4225,0.26999
181,RR,405,10,0.077349,0.029363
188,DA,160,80,0.040744,0.0116
206,HC,870,35,0.33232,0.063075
215,HC,1200,35,0.45837,0.087
220,PS,1479,100,0.28247,0.10723
225,DA,220,80,0.056023,0.01595
228,DA,138,80,0.035141,0.010005
251,RR,92,10,0.03,0.01
252,RR,288,10,0.055004,0.02088
259,DA,124,80,0.031576,0.01
260,DA,104,80,0.03,0.01
275,LI,773,24,0.29526,0.056043
276,FO,1441,100,0.55042,0.10447
281,HC,1845,35,0.70474,0.13376
282,RR,141,10,0.03,0.010223
283,RR,147,10,0.03,0.010658
287,DA,288,80,0.073339,0.02088
288,HY,890,60,0.16998,0.064525
289,HY,762,60,0.14553,0.055245
301,HY,180,60,0.034377,0.01305
305,HY,351,60,0.067036,0.025448
306,HY,150,60,0.03,0.010875
309,PS,168,100,0.032086,0.01218
310,RR,546,10,0.10428,0.039585
317,NU,2803.4,16,1.0708,0.20325
338,RR,116,10,0.03,0.01
339,RR,124,10,0.03,0.01
355,NU,5000,16,2.1536,0.40876
376,HC,1441,35,0.55042,0.10447
377,HC,721,35,0.2754,0.052273
381,RR,167,10,0.031895,0.012108
384,RR,98,10,0.03,0.01
387,RR,89,10,0.03,0.01
391,NU,2235,16,0.85371,0.16204
396,DA,95,80,0.03,0.01
400,PS,240,100,0.045837,0.0174
401,RR,900,10,0.17189,0.06525
405,FO,2008,100,0.767,0.14558
409,CG,1564,110,0.5974,0.11339
417,NU,3864,16,1.4759,0.28014
419,FO,374,100,0.14286,0.027115
439,NU,2782,16,1.0626,0.2017
440,PS,485,100,0.092628,0.035163
442,RR,91,10,0.03,0.01
447,RR,104,10,0.03,0.01
448,RR,320,10,0.061115,0.0232
449,RR,750,10,0.14324,0.054375
456,RR,1120,10,0.2139,0.0812
461,DA,1121,80,0.28546,0.081273
467,LI,1561,24,0.59626,0.11317
468,CG,1919,110,0.733,0.13913
491,RR,155,10,0.03,0.011238
495,RR,500,10,0.095493,0.03625
496,RR,200.1,10,0.038216,0.014507
497,RR,392,10,0.074866,0.02842
498,NU,2688,16,1.0267,0.19488
503,CG,2740,110,1.0466,0.19865
507,DA,100,80,0.03,0.01
508,RR,1280,10,0.24446,0.0928
511,RR,1568,10,0.29947,0.11368
522,FO,446,100,0.17036,0.032335
523,CG,1596,110,0.60963,0.11571
525,RR,480,10,0.091673,0.0348
526,PS,742,100,0.14171,0.053795
557,RR,1510,10,0.28839,0.10948
559,NU,3839.6,16,1.4666,0.27837
564,RR,298,10,0.056914,0.021605
573,RR,81,10,0.03,0.01
576,DA,324,80,0.082506,0.02349
581,NU,3144,16,1.2009,0.22794
599,NU,1345,16,0.51375,0.097513
602,PS,289,100,0.055195,0.020953
603,RR,345,10,0.06589,0.025013
604,RR,79,10,0.03,0.01
615,HY,150,60,0.03,0.010875
628,RR,87,10,0.03,0.01
639,OT,561,10,0.10714,0.040673
640,FO,258,100,0.098549,0.018705
646,RR,360,10,0.068755,0.0261
663,PS,1800,100,0.34377,0.1305
664,FO,173,100,0.066081,0.012543
665,LI,1659,24,0.63369,0.12028
666,NU,4070,16,1.5546,0.29508
669,RR,161,10,0.030749,0.011673
670,RR,116,10,0.03,0.01
671,RR,186,10,0.035523,0.013485
675,RR,96,10,0.03,0.01
682,DA,96,80,0.03,0.01
688,PS,808,100,0.15432,0.05858
699,CG,1483,110,0.56646,0.10752
700,LI,2978,24,1.1375,0.21591
710,LI,724,24,0.27655,0.05249
713,PS,160,100,0.030558,0.0116
715,PS,962.3,100,0.18379,0.069767
716,PS,231,100,0.044118,0.016748
717,RR,59,10,0.03,0.01
720,RR,225,10,0.042972,0.016313
734,HY,210,60,0.040107,0.015225
735,CG,1271,110,0.48549,0.092148
740,RR,154.6,10,0.03,0.011209
743,FO,469,100,0.17914,0.034003
744,CG,1835,110,0.70092,0.13304
769,NU,1923.5,16,0.73472,0.13945
772,NU,3122,16,1.1925,0.22635
774,RR,910,10,0.1738,0.065975
775,PS,910,100,0.1738,0.065975
776,RR,183,10,0.03495,0.013268
786,RR,329.5,10,0.06293,0.023889
791,CG,408,110,0.15584,0.02958
796,NU,2726,16,1.0413,0.19764
805,RR,101,10,0.03,0.01
806,RR,366,10,0.069901,0.026535
812,FO,1400,100,0.53476,0.1015
816,RR,210,10,0.040107,0.015225
817,RR,222,10,0.042399,0.016095
821,CG,412,110,0.15737,0.02987
834,CG,420,110,0.16043,0.03045
858,LI,474,24,0.18105,0.034365
860,OT,1218,10,0.23262,0.088305
861,FO,1504,100,0.57449,0.10904
867,LI,1237,24,0.4725,0.089683
869,FO,404,100,0.15432,0.02929
871,LI,336,24,0.12834,0.02436
872,LI,1615,24,0.61688,0.11709
876,CG,2361,110,0.90184,0.17117
877,FO,985,100,0.37624,0.071413
879,HY,120,60,0.03,0.01
885,NU,2927.6,16,1.1183,0.21225
889,NU,5000,16,2.1304,0.40437
917,RR,216,10,0.041253,0.01566
920,RR,107,10,0.03,0.01
922,RR,447,10,0.085371,0.032408
931,FO,2400,100,0.91673,0.174
934,RR,116,10,0.03,0.01
936,RR,345,10,0.06589,0.025013
937,RR,285,10,0.054431,0.020663
948,CG,460,110,0.17571,0.03335
950,CG,709,110,0.27082,0.051403
963,NU,3542,16,1.3529,0.2568
964,HC,556,35,0.21238,0.04031
979,LI,171,24,0.065317,0.012398
987,CG,2227,110,0.85065,0.16146
988,CG,772,110,0.29488,0.05597
989,PS,480,100,0.091673,0.0348
990,RR,240,10,0.045837,0.0174
991,RR,60,10,0.03,0.01
992,NU,2387,16,0.91177,0.17306
998,FO,646,100,0.24675,0.046835
1005,HY,130,60,0.03,0.01
1040,RR,119,10,0.03,0.01
1059,RR,370,10,0.070665,0.026825
1060,RR,139,10,0.03,0.010078
1079,NU,5000,16,2.1887,0.41543
1091,CG,2173,110,0.83002,0.15754
1092,CG,271,110,0.10351,0.019648
1094,PS,1191.1,100,0.22748,0.086355
1097,CG,385,110,0.14706,0.027913
1098,LI,290,24,0.11077,0.021025
1108,PS,2400,100,0.45837,0.174
1109,LI,3680,24,1.4057,0.2668
1114,PS,1096,100,0.20932,0.07946
1118,RR,61,10,0.03,0.01
1119,RR,1070,10,0.20435,0.077575
