ID, Name,Voltage [KV],Demand [MW],Load Freq Coeff [WMs],Country,Population Prop,Longitude,Latitude
1,Laufenburg 380,380,119.8,0.0057223,CH,0.013871,7.9651,47.4949
2,Beznau 380,380,154.4,0.0073728,CH,0.017872,8.2727,47.4801
3,Unlabeled_1 380,380,95.4,0.0045545,CH,0.01104,7.5916,47.3239
4,Gosgen 380,380,120.8,0.0057664,CH,0.013978,7.8992,47.376
5,Unlabeled_2 380,380,79.9,0.0038168,CH,0.0092521,7.7786,47.5114
6,Kuhmoos 380,380,76.8,0.0036689,DE,0.0011169,7.9321,47.5988
7,Gurtweil 380,380,129.3,0.0061757,DE,0.00188,8.1519,47.7098
8,Tiengen 380,380,125.2,0.0059776,DE,0.0018197,8.2068,47.6506
9,Leibstadt 380,380,152,0.0072554,CH,0.017588,8.1738,47.5246
10,Laufenburg 220,220,39.9,0.0019074,CH,0.0046237,7.9651,47.4949
11,Breite 380,380,174.7,0.0083426,CH,0.020223,8.6133,47.4281
12,Beznau 220,220,51.5,0.0024576,CH,0.0059574,8.2727,47.4801
13,Bickigen 380,380,104.4,0.0049847,CH,0.012083,7.6465,47.0776
14,Bassecourt 380,380,124.9,0.0059637,CH,0.014456,7.196,47.3612
15,Ormalingen 380,380,80.3,0.0038334,CH,0.0092924,7.7673,47.3835
16,Mettlen 380,380,129.1,0.0061636,CH,0.014941,8.2947,47.1449
17,Gosgen 220,220,40.3,0.0019221,CH,0.0046594,7.8992,47.376
18,Asphard 380,380,78.7,0.0037597,CH,0.0091137,7.7124,47.5172
19,Unlabeled_3 380,380,69.2,0.0033031,DE,0.0010055,7.6131,47.6262
20,Wehr 380,380,76.2,0.003639,DE,0.0011078,7.8772,47.7098
21,Eichstetten 380,380,94,0.0044901,DE,0.0013669,7.7124,48.1001
22,Kuhmoos 220,220,25.6,0.001223,DE,0.00037229,7.9321,47.5988
23,Unlabeled_4 380,380,132.1,0.0063064,DE,0.0019198,8.5034,47.9605
24,Gurtweil 220,220,43.1,0.0020586,DE,0.00062667,8.1519,47.7098
25,Herbertingen 380,380,111.3,0.0053128,DE,0.0016173,9.3933,48.034
26,Tiengen 220,220,41.7,0.0019925,DE,0.00060657,8.2068,47.6506
27,Oftringen 220,220,34.8,0.0016592,CH,0.0040221,7.8003,47.2941
28,Grynau 380,380,147.4,0.0070393,CH,0.017064,9.0417,47.2196
29,Mapragg 380,380,30.4,0.0014501,CH,0.0035152,9.2834,46.9052
30,Breite 220,220,58.2,0.0027809,CH,0.006741,8.6133,47.4281
31,Unlabeled_5 220,220,55.4,0.0026445,CH,0.0064104,8.4705,47.4801
32,Birr 220,220,52.6,0.0025111,CH,0.0060872,8.1628,47.4355
33,Creux de Chippis 380,380,45.2,0.0021602,CH,0.0052366,7.5586,46.3393
34,Bickigen 220,220,34.8,0.0016616,CH,0.0040277,7.6465,47.0776
35,Unlabeled_6 380,380,138.7,0.0066211,FR,0.0016994,7.405,47.6422
36,Mambelin 380,380,145.2,0.0069313,FR,0.001779,6.5918,47.3835
37,Pieterlen 380,380,120.3,0.0057427,CH,0.013921,7.262,47.1972
38,Unlabeled_7 380,380,82.9,0.0039591,CH,0.0095971,7.6025,47.4058
39,Unlabeled_8 380,380,38.8,0.0018519,CH,0.0044892,8.6353,46.8376
40,Ingenbohl 380,380,109.9,0.0052488,CH,0.012723,8.5803,47.0177
41,Altgass 380,380,143,0.0068271,CH,0.016549,8.5583,47.2121
42,Obfelden 380,380,148.8,0.0071053,CH,0.017224,8.3386,47.3016
43,Unlabeled_9 380,380,117.3,0.0056024,CH,0.013581,8.1738,47.0776
44,Mettlen 220,220,43,0.0020545,CH,0.0049803,8.2947,47.1449
45,Flumenthal 220,220,32.1,0.0015349,CH,0.0037207,7.5366,47.2792
46,Sierentz 380,380,137.7,0.006573,FR,0.0016871,7.4158,47.6432
47,Muhlbach 380,380,156.7,0.0074812,FR,0.0019202,7.3938,47.8942
48,Karlsruhe West 380,380,129.7,0.0061943,DE,0.0018856,8.3276,49.0091
49,Eichstetten 220,220,31.3,0.0014967,DE,0.00045562,7.7124,48.1001
50,Schworstadt 220,220,23,0.0010989,DE,0.00033453,7.8223,47.5765
51,Trossingen 380,380,132.6,0.0063335,DE,0.001928,8.5254,48.0781
52,Engstlatt 380,380,160.5,0.0076628,DE,0.0023327,8.866,48.2466
53,Unlabeled_10 220,220,46.1,0.0021997,DE,0.00066961,8.877,47.7984
54,Grunkraut 380,380,111.2,0.0053115,DE,0.0016169,9.6021,47.7098
55,Unlabeled_11 380,380,193,0.0092144,DE,0.002805,9.1846,48.4511
56,Rupperswil 220,220,47.1,0.0022491,CH,0.005452,8.053,47.376
57,Lindenholz 220,220,35.5,0.0016931,CH,0.0041041,7.7344,47.2121
58,Winkeln 380,380,137.1,0.0065463,CH,0.015869,9.2615,47.3537
59,Tavanasa 380,380,12.1,0.00057641,CH,0.0013973,8.8879,46.7474
60,Grynau 220,220,49.1,0.0023464,CH,0.0056879,9.0417,47.2196
61,Bonaduz 380,380,17.4,0.00083112,CH,0.0020147,9.2505,46.8226
62,Toss 220,220,58.8,0.0028093,CH,0.0068099,8.7122,47.4949
63,Aathal 220,220,51.4,0.0024556,CH,0.0059526,8.7451,47.2867
64,Riet 220,220,59.5,0.00284,CH,0.0068843,8.6133,47.5469
65,Eglisau 220,220,54.8,0.0026188,CH,0.0063482,8.5034,47.5543
66,Birr 380,380,157.8,0.0075334,CH,0.018262,8.1628,47.4355
67,Creux de Chippis 220,220,15.1,0.00072008,CH,0.0017455,7.5586,46.3393
68,Unlabeled_12 220,220,36.7,0.0017528,CH,0.004249,7.5146,47.13
69,Innertkirchen 220,220,15.4,0.00073602,CH,0.0017842,8.075,46.7173
70,Frasne 380,380,104.5,0.0049879,FR,0.0012802,6.1414,46.8902
71,Mambelin 220,220,48.4,0.0023104,FR,0.00059301,6.5918,47.3835
72,Muhleberg 380,380,103.1,0.0049204,CH,0.011927,7.218,47.0102
73,Lachmatt 380,380,81.9,0.0039088,CH,0.0094752,7.5806,47.4801
74,Plattischachen 380,380,26.4,0.001262,CH,0.0030591,8.6353,46.77
75,Lavorgo 380,380,16,0.00076288,CH,0.0018493,8.8,46.4
76,Samstagern 380,380,137.8,0.0065799,CH,0.01595,8.6792,47.1524
77,Obfelden 220,220,49.6,0.0023684,CH,0.0057413,8.3386,47.3016
78,Littau 380,380,108.8,0.0051958,CH,0.012595,8.2617,47.0177
79,Gerlafingen 220,220,36.5,0.001743,CH,0.0042251,7.4927,47.1897
80,Sierentz 220,220,45.9,0.002191,FR,0.00056235,7.4158,47.6432
81,Unlabeled_13 380,380,172.9,0.0082542,FR,0.0021186,7.3059,48.2686
82,Fessenheim 380,380,143,0.0068264,FR,0.0017521,7.5256,47.8427
83,Logelbach 380,380,137.3,0.0065567,FR,0.0016829,7.24,48.0561
84,Muhlbach 220,220,52.2,0.0024937,FR,0.00064006,7.3938,47.8942
85,Unlabeled_14 380,380,150.8,0.0072008,DE,0.0021921,8.3057,49.4324
86,Philippsburg 380,380,151,0.0072091,DE,0.0021946,8.4155,49.2032
87,Daxlanden 380,380,135.6,0.0064741,DE,0.0019708,8.4265,48.9946
88,Karlsruhe West 220,220,43.2,0.0020648,DE,0.00062855,8.3276,49.0091
89,Weier 220,220,52.9,0.0025243,DE,0.00076843,7.8772,48.502
90,Vogelgrun 220,220,49.6,0.002368,FR,0.00060778,7.4707,48.0414
91,Oberjettingen 380,380,206.3,0.0098502,DE,0.0029986,8.7451,48.5166
92,Stockach 220,220,47.2,0.0022541,DE,0.00068619,8.9648,47.8132
93,Beuren 220,220,47,0.0022455,DE,0.00068356,8.7891,47.791
94,Unlabeled_15 380,380,101.5,0.0048448,DE,0.0014749,9.6625,47.612
95,Metzingen 380,380,192.7,0.0091996,DE,0.0028005,9.2395,48.4875
96,Hoheneck 380,380,203.5,0.0097169,DE,0.002958,9.1296,48.8213
97,Meiningen 380,380,108.4,0.0051735,AT,0.013544,9.624,47.2867
98,Morschwil 380,380,131.3,0.006269,CH,0.015196,9.4153,47.4578
99,Winkeln 220,220,45.7,0.0021821,CH,0.0052896,9.2615,47.3537
100,Ilanz 380,380,15.9,0.00076058,CH,0.0018437,9.0527,46.785
101,Sedrun 380,380,9.2,0.0005,CH,0.0010706,8.6682,46.6193
102,Siebnen 220,220,44.8,0.0021392,CH,0.0051855,8.811,47.115
103,Tierfehd 220,220,21,0.0010007,CH,0.0024258,8.9319,46.9877
104,Sils 380,380,13.8,0.00066082,CH,0.0016019,9.3274,46.6947
105,Sarelli 380,380,33,0.0015745,CH,0.0038166,9.3933,46.9728
106,Bonaduz 220,220,5.8,0.0005,CH,0.00067157,9.2505,46.8226
107,Weinfelden 220,220,64,0.0030537,CH,0.0074024,8.9319,47.5246
108,Schlattingen 220,220,65,0.0031054,CH,0.0075277,8.7231,47.6136
109,Niederwil 380,380,153.7,0.0073374,CH,0.017786,8.2178,47.3686
110,Stalden 220,220,8.9,0.0005,CH,0.0010335,7.8442,46.2482
111,Unlabeled_16 220,220,10.9,0.00052153,CH,0.0012642,7.8333,46.3469
112,Chamoson 220,220,13.8,0.00066111,CH,0.0016026,7.3828,46.2634
113,Muhleberg 220,220,34.4,0.0016401,CH,0.0039758,7.218,47.0102
114,Handeck 220,220,7.7,0.0005,CH,0.00089066,8.2507,46.6117
115,Giswil 220,220,19,0.00090822,CH,0.0022016,8.1299,46.8452
116,Wimmis 220,220,26.9,0.0012834,CH,0.0031111,7.5256,46.6796
117,Genissiat 380,380,153.4,0.0073237,FR,0.0018797,5.7898,46.0656
118,Frasne 220,220,34.8,0.0016626,FR,0.00042674,6.1414,46.8902
119,Etupes 220,220,38.5,0.0018382,FR,0.0004718,6.7566,47.5246
120,Bourguignon 220,220,35.8,0.00171,FR,0.00043889,6.6797,47.4578
121,Pontarlier 220,220,46.2,0.0022057,FR,0.00056614,6.3062,46.9128
122,La Palente 220,220,45.1,0.0021547,FR,0.00055305,6.0425,47.2792
123,Unlabeled_17 380,380,103.4,0.0049393,CH,0.011973,7.1521,46.9952
124,Airolo 380,380,10.3,0.0005,CH,0.0011949,8.6023,46.4908
125,Plattischachen 220,220,8.8,0.0005,CH,0.0010197,8.6353,46.77
126,Unlabeled_18 380,380,41.3,0.0019698,CH,0.004775,8.9087,46.2562
127,Lavorgo 220,220,5.3,0.0005,CH,0.00061642,8.8,46.4
128,Siebnen 380,380,134.4,0.0064175,CH,0.015557,8.811,47.115
129,Samstagern 220,220,45.9,0.0021933,CH,0.0053167,8.6792,47.1524
130,Niederwil 220,220,51.2,0.0024458,CH,0.0059288,8.2178,47.3686
131,Unlabeled_19 220,220,46.2,0.002207,FR,0.00056647,7.405,47.6422
132,Ottmarsheim 220,220,50,0.0023877,FR,0.00061283,7.4487,47.791
133,Hirsingue 220,220,44.1,0.0021051,FR,0.00054032,7.196,47.5913
134,Lutterbach 220,220,48.4,0.0023114,FR,0.00059325,7.1851,47.7615
135,Unlabeled_20 380,380,95.2,0.0045437,FR,0.0011662,6.4144,48.7476
136,Scheer 380,380,232.6,0.011108,FR,0.0028511,7.4597,48.327
137,Vincey 380,380,105.8,0.0050499,FR,0.0012961,6.2732,48.3197
138,Logelbach 220,220,45.8,0.0021856,FR,0.00056096,7.24,48.0561
139,Unlabeled_21 380,380,158.8,0.007581,DE,0.0023078,8.3057,49.5609
140,Unlabeled_22 380,380,171.5,0.0081892,DE,0.0024929,8.6902,49.1386
141,Neurott 380,380,153.6,0.0073331,DE,0.0022323,8.6023,49.3036
142,Altlubheim 220,220,49,0.0023389,DE,0.00071199,8.4814,49.2821
143,Unlabeled_23 220,220,48,0.0022916,DE,0.00069759,8.4814,48.8647
