ID1,ID2,Resistance [Ohm],Reactance [Ohm], Thermal limit [MW]
1,2,0.000449,0.004252,1700
1,2,0.000449,0.004252,1700
1,3,0.000678,0.006412,1700
1,3,0.000678,0.006412,1700
1,4,0.000309,0.00292,1700
1,4,0.000309,0.00292,1700
1,5,0.000274,0.002593,1700
1,5,0.000274,0.002593,1700
1,6,0.000228,0.002154,1700
1,6,0.000228,0.002154,1700
1,6,0.000228,0.002154,1700
1,7,0.000555,0.005257,1700
1,7,0.000555,0.005257,1700
1,8,0.000485,0.004594,1700
1,8,0.000485,0.004594,1700
1,8,0.000485,0.004594,1700
1,9,0.00031,0.002936,1700
1,9,0.00031,0.002936,1700
1,10,0.001385,0.038088,1000
2,8,0.000379,0.003583,1700
2,8,0.000379,0.003583,1700
2,9,0.000172,0.001629,1700
2,9,0.000172,0.001629,1700
2,11,0.000509,0.004818,1700
2,11,0.000509,0.004818,1700
2,12,0.001385,0.038088,1000
3,13,0.000559,0.005294,1700
3,13,0.000559,0.005294,1700
3,14,0.000624,0.005902,1700
3,14,0.000624,0.005902,1700
4,15,0.000192,0.00182,1700
4,15,0.000192,0.00182,1700
4,16,0.000764,0.007227,1700
4,16,0.000764,0.007227,1700
4,16,0.000764,0.007227,1700
4,16,0.000764,0.007227,1700
4,17,0.001385,0.038088,1000
5,18,9.7e-05,0.000916,1700
5,18,9.7e-05,0.000916,1700
6,19,0.000468,0.00443,1700
6,19,0.000468,0.00443,1700
6,20,0.000251,0.002376,1700
6,20,0.000251,0.002376,1700
6,21,0.001327,0.012563,1700
6,21,0.001327,0.012563,1700
6,21,0.001327,0.012563,1700
6,22,0.001385,0.038088,1000
7,23,0.000743,0.007029,1700
7,23,0.000743,0.007029,1700
7,24,0.001385,0.038088,1000
8,25,0.002138,0.020233,1700
8,25,0.002138,0.020233,1700
8,26,0.001385,0.038088,1000
10,27,0.003467,0.019808,490
10,27,0.003467,0.019808,490
11,28,0.000771,0.007297,1700
11,28,0.000771,0.007297,1700
11,29,0.00195,0.018455,1700
11,29,0.00195,0.018455,1700
11,30,0.001385,0.038088,1000
12,31,0.001936,0.011061,490
12,31,0.001936,0.011061,490
12,32,0.001248,0.007129,490
12,32,0.001248,0.007129,490
13,33,0.001696,0.016054,1700
13,33,0.001696,0.016054,1700
13,34,0.001385,0.038088,1000
14,35,0.000682,0.006451,1700
14,36,0.000938,0.008877,1700
14,37,0.000365,0.003456,1700
14,37,0.000365,0.003456,1700
15,38,0.000245,0.002321,1700
15,38,0.000245,0.002321,1700
16,39,0.001001,0.009472,1700
16,39,0.001001,0.009472,1700
16,40,0.000501,0.004739,1700
16,40,0.000501,0.004739,1700
16,41,0.000412,0.003903,1700
16,41,0.000412,0.003903,1700
16,41,0.000412,0.003903,1700
16,42,0.000343,0.003242,1700
16,42,0.000343,0.003242,1700
16,43,0.000229,0.002166,1700
16,43,0.000229,0.002166,1700
16,44,0.001385,0.038088,1000
17,45,0.003824,0.021849,490
18,19,0.000353,0.003342,1700
18,19,0.000353,0.003342,1700
19,46,0.000289,0.002737,1700
19,46,0.000289,0.002737,1700
21,47,0.000639,0.006044,1700
21,48,0.002249,0.021288,1700
21,48,0.002249,0.021288,1700
21,48,0.002249,0.021288,1700
21,49,0.001385,0.038088,1000
22,50,0.001114,0.006365,490
22,50,0.001114,0.006365,490
23,51,0.000255,0.002411,1700
23,51,0.000255,0.002411,1700
23,52,0.000858,0.008118,1700
23,52,0.000858,0.008118,1700
24,26,0.001002,0.005725,490
24,26,0.001002,0.005725,490
24,49,0.008018,0.045816,490
24,49,0.008018,0.045816,490
24,53,0.008212,0.046926,490
24,53,0.008212,0.046926,490
25,54,0.000761,0.007198,1700
25,54,0.000761,0.007198,1700
25,55,0.001061,0.010039,1700
25,55,0.001061,0.010039,1700
27,56,0.003145,0.017969,490
27,57,0.001344,0.007681,490
27,57,0.001344,0.007681,490
28,58,0.000432,0.004085,1700
28,58,0.000432,0.004085,1700
28,59,0.001088,0.010294,1700
28,59,0.001088,0.010294,1700
28,60,0.001385,0.038088,1000
29,61,0.000183,0.001735,1700
29,61,0.000183,0.001735,1700
30,31,0.001587,0.009067,490
30,31,0.001587,0.009067,490
30,62,0.001361,0.007779,490
30,62,0.001361,0.007779,490
30,63,0.002414,0.013792,490
30,63,0.002414,0.013792,490
30,64,0.00171,0.009772,490
30,64,0.00171,0.009772,490
31,65,0.001117,0.006382,490
32,56,0.001372,0.007839,490
32,66,0.001385,0.038088,1000
33,67,0.001385,0.038088,1000
34,44,0.006468,0.036962,490
34,44,0.006468,0.036962,490
34,45,0.003104,0.017735,490
34,45,0.003104,0.017735,490
34,68,0.001502,0.008585,490
34,68,0.001502,0.008585,490
34,69,0.006718,0.038387,490
34,69,0.006718,0.038387,490
36,46,0.001399,0.01324,1700
36,70,0.001306,0.012363,1700
36,71,0.001385,0.038088,1000
37,72,0.000407,0.00385,1700
37,72,0.000407,0.00385,1700
38,73,0.000163,0.00154,1700
38,73,0.000163,0.00154,1700
39,74,0.000145,0.001374,1700
39,74,0.000145,0.001374,1700
39,75,0.001037,0.009814,1700
40,74,0.000539,0.0051,1700
40,74,0.000539,0.0051,1700
41,76,0.000218,0.002063,1700
41,76,0.000218,0.002063,1700
41,76,0.000218,0.002063,1700
42,77,0.001385,0.038088,1000
43,78,0.000182,0.001724,1700
43,78,0.000182,0.001724,1700
45,79,0.001357,0.007755,490
46,47,0.000559,0.005293,1700
46,47,0.000559,0.005293,1700
46,80,0.001385,0.038088,1000
47,81,0.000834,0.007897,1700
47,82,0.00022,0.002081,1700
47,83,0.000461,0.004363,1700
47,83,0.000461,0.004363,1700
47,84,0.001385,0.038088,1000
48,85,0.000973,0.009208,1700
48,85,0.000973,0.009208,1700
48,85,0.000973,0.009208,1700
48,86,0.000436,0.004122,1700
48,86,0.000436,0.004122,1700
48,86,0.000436,0.004122,1700
48,87,0.000142,0.001347,1700
48,88,0.001385,0.038088,1000
49,89,0.006023,0.034416,490
49,89,0.006023,0.034416,490
49,90,0.002485,0.014201,490
52,91,0.000627,0.005932,1700
52,91,0.000627,0.005932,1700
